iter	Passed	Remaining
0	0	540
1	0	496
2	1	475
3	1	454
4	2	442
5	2	446
6	3	446
7	3	447
8	4	444
9	4	440
10	4	444
11	5	461
12	6	457
13	6	453
14	6	448
15	7	440
16	7	437
17	7	434
18	8	430
19	8	428
20	9	434
21	9	434
22	10	434
23	10	442
24	11	443
25	11	442
26	12	442
27	12	444
28	13	444
29	13	442
30	14	444
31	14	442
32	15	444
33	15	441
34	16	441
35	16	439
36	16	437
37	17	435
38	17	436
39	18	435
40	18	434
41	19	434
42	19	433
43	20	434
44	20	434
45	20	433
46	21	435
47	22	437
48	22	437
49	23	438
50	23	437
51	23	436
52	24	435
53	24	434
54	25	432
55	25	431
56	25	429
57	26	428
58	26	426
59	27	426
60	27	425
61	28	424
62	28	425
63	29	424
64	29	424
65	30	424
66	30	424
67	30	420
68	31	420
69	31	420
70	32	420
71	32	419
72	32	418
73	33	419
74	33	418
75	34	418
76	34	417
77	35	416
78	35	416
79	36	415
80	36	415
81	37	415
82	37	415
83	38	421
84	38	418
85	39	417
86	39	415
87	40	415
88	40	414
89	40	413
90	41	412
91	41	411
92	42	410
93	42	409
94	42	408
95	43	408
96	43	407
97	44	406
98	44	406
99	45	406
100	45	405
101	45	402
102	46	402
103	46	402
104	47	401
105	47	400
106	47	400
107	48	399
108	48	398
109	49	398
110	49	397
111	50	397
112	50	397
113	51	396
114	51	396
115	51	394
116	52	394
117	52	394
118	53	392
119	53	391
120	53	392
121	54	391
122	54	389
123	55	388
124	55	388
125	55	387
126	56	386
127	56	384
128	56	384
129	57	383
130	57	382
131	58	383
132	58	383
133	59	383
134	59	383
135	60	382
136	60	382
137	61	381
138	61	381
139	62	380
140	62	380
141	62	379
142	63	378
143	63	378
144	64	377
145	64	377
146	65	377
147	65	376
148	65	376
149	66	379
150	67	379
151	68	379
152	68	379
153	68	378
154	69	378
155	69	378
156	70	377
157	70	377
158	71	376
159	71	376
160	72	375
161	72	375
162	73	375
163	73	375
164	73	374
165	74	373
166	74	373
167	75	373
168	75	372
169	76	372
170	76	371
171	77	370
172	77	370
173	77	369
174	78	369
175	78	368
176	79	368
177	79	367
178	80	370
179	81	370
180	81	368
181	81	367
182	82	367
183	82	366
184	83	367
185	83	366
186	84	366
187	84	365
188	85	365
189	85	365
190	86	364
191	86	363
192	86	363
193	87	362
194	87	362
195	88	362
196	88	362
197	89	361
198	89	360
199	90	360
200	90	360
201	91	359
202	91	359
203	91	358
204	92	358
205	92	358
206	93	357
207	93	356
208	94	356
209	94	355
210	94	354
211	95	354
212	95	353
213	96	353
214	96	352
215	97	352
216	97	351
217	97	351
218	98	351
219	98	350
220	99	350
221	99	349
222	100	349
223	100	348
224	101	348
225	101	348
226	102	347
227	102	346
228	102	346
229	103	346
230	103	345
231	104	344
232	104	344
233	105	343
234	105	343
235	105	342
236	106	342
237	106	341
238	107	341
239	107	341
240	108	340
241	108	340
242	109	340
243	109	339
244	110	339
245	110	338
246	110	337
247	111	337
248	111	336
249	112	336
250	112	336
251	113	335
252	113	335
253	113	334
254	114	334
255	114	333
256	115	333
257	115	332
258	116	332
259	116	331
260	117	331
261	117	330
262	117	330
263	118	330
264	118	329
265	119	329
266	119	328
267	120	328
268	120	327
269	120	326
270	121	326
271	121	325
272	122	325
273	122	325
274	123	325
275	123	325
276	124	324
277	125	324
278	125	324
279	126	324
280	126	324
281	127	323
282	127	323
283	128	323
284	128	323
285	129	323
286	130	323
287	130	323
288	131	322
289	131	322
290	132	322
291	132	321
292	133	321
293	133	321
294	134	321
295	134	321
296	135	320
297	136	320
298	136	320
299	137	321
300	138	320
301	139	321
302	139	321
303	140	321
304	140	321
305	141	320
306	141	320
307	142	320
308	143	320
309	143	320
310	144	319
311	144	319
312	145	319
313	146	319
314	146	318
315	147	318
316	148	320
317	149	319
318	149	319
319	150	319
320	150	319
321	151	319
322	152	319
323	152	318
324	153	318
325	153	318
326	154	318
327	155	317
328	155	317
329	156	318
330	157	317
331	157	317
332	158	317
333	159	318
334	160	318
335	160	317
336	161	317
337	161	317
338	162	316
339	162	316
340	163	316
341	164	315
342	164	315
343	165	315
344	166	315
345	166	315
346	167	314
347	167	314
348	168	314
349	168	313
350	169	313
351	170	313
352	170	312
353	171	312
354	171	312
355	172	311
356	173	311
357	173	311
358	174	311
359	174	310
360	175	310
361	175	310
362	176	309
363	176	309
364	177	308
365	177	308
366	178	307
367	179	307
368	179	307
369	180	306
370	180	306
371	181	305
372	181	305
373	182	304
374	182	304
375	183	304
376	183	303
377	184	303
378	184	303
379	185	302
380	185	302
381	186	301
382	186	301
383	187	300
384	187	300
385	188	299
386	189	299
387	189	298
388	189	298
389	190	297
390	191	297
391	191	297
392	192	296
393	192	296
394	193	295
395	193	295
396	193	294
397	194	294
398	194	293
399	195	293
400	196	292
401	196	292
402	197	291
403	197	291
404	197	290
405	198	290
406	198	289
407	199	289
408	199	288
409	200	288
410	201	288
411	201	287
412	202	287
413	202	286
414	202	286
415	203	285
416	203	284
417	204	284
418	204	283
419	205	283
420	205	282
421	205	282
422	206	281
423	206	280
424	207	280
425	207	279
426	208	279
427	208	278
428	208	278
429	209	277
430	209	276
431	210	276
432	210	275
433	211	275
434	211	274
435	212	274
436	212	273
437	212	273
438	213	272
439	214	272
440	214	271
441	214	271
442	215	270
443	215	270
444	216	269
445	216	268
446	216	268
447	217	267
448	217	267
449	218	266
450	218	266
451	219	265
452	219	265
453	220	264
454	220	264
455	220	263
456	221	263
457	221	262
458	222	261
459	222	261
460	223	260
461	223	260
462	223	259
463	224	259
464	224	258
465	225	258
466	225	257
467	226	257
468	226	256
469	227	256
470	227	255
471	228	255
472	228	254
473	229	254
474	229	253
475	229	253
476	230	252
477	230	251
478	231	251
479	231	250
480	232	250
481	232	249
482	232	249
483	233	248
484	233	248
485	234	247
486	234	247
487	235	246
488	235	246
489	236	245
490	236	245
491	236	244
492	237	244
493	237	243
494	238	243
495	238	242
496	239	241
497	239	241
498	239	240
499	240	240
500	240	239
501	241	239
502	241	238
503	242	238
504	242	237
505	243	237
506	243	236
507	243	236
508	244	235
509	244	235
510	245	234
511	245	234
512	246	233
513	246	233
514	247	232
515	247	232
516	248	231
517	248	231
518	248	230
519	249	230
520	249	229
521	250	229
522	250	228
523	251	228
524	251	227
525	252	227
526	252	226
527	252	226
528	253	225
529	253	225
530	254	224
531	254	223
532	255	223
533	255	222
534	255	222
535	256	221
536	256	221
537	257	220
538	257	220
539	258	219
540	258	219
541	258	218
542	259	218
543	259	217
544	260	217
545	260	216
546	261	216
547	261	215
548	261	215
549	262	214
550	262	214
551	263	213
552	263	213
553	264	212
554	264	212
555	265	211
556	265	211
557	266	210
558	266	210
559	267	209
560	267	209
561	268	208
562	268	208
563	269	207
564	269	207
565	269	206
566	270	206
567	270	206
568	271	205
569	271	205
570	272	204
571	272	204
572	273	203
573	273	203
574	274	202
575	274	202
576	274	201
577	275	201
578	275	200
579	276	199
580	276	199
581	276	198
582	277	198
583	277	197
584	278	197
585	278	197
586	279	196
587	279	196
588	280	195
589	280	195
590	281	194
591	281	194
592	282	193
593	282	193
594	283	192
595	283	192
596	284	191
597	284	191
598	284	190
599	285	190
600	285	189
601	286	189
602	286	188
603	286	188
604	287	187
605	287	187
606	288	186
607	288	186
608	289	185
609	289	185
610	289	184
611	290	184
612	290	183
613	291	183
614	291	182
615	292	182
616	292	181
617	292	181
618	293	180
619	293	179
620	294	179
621	294	179
622	295	178
623	295	178
624	296	177
625	296	177
626	297	176
627	297	176
628	297	175
629	298	175
630	298	174
631	299	174
632	299	173
633	300	173
634	300	172
635	301	172
636	301	171
637	302	171
638	302	170
639	302	170
640	303	169
641	303	169
642	304	168
643	304	168
644	305	167
645	305	167
646	305	166
647	306	166
648	306	165
649	307	165
650	307	164
651	307	164
652	308	163
653	308	163
654	309	162
655	309	162
656	310	161
657	310	161
658	311	160
659	311	160
660	311	159
661	312	159
662	312	159
663	313	158
664	313	158
665	314	157
666	314	157
667	315	156
668	315	156
669	316	155
670	316	155
671	317	154
672	317	154
673	318	153
674	318	153
675	319	152
676	319	152
677	319	151
678	320	151
679	320	150
680	321	150
681	321	149
682	321	149
683	322	148
684	322	148
685	323	147
686	323	147
687	324	146
688	324	146
689	324	145
690	325	145
691	325	145
692	326	144
693	326	144
694	327	143
695	327	143
696	328	142
697	328	142
698	329	141
699	329	141
700	330	140
701	330	140
702	331	139
703	331	139
704	332	138
705	332	138
706	332	137
707	333	137
708	333	137
709	334	136
710	334	136
711	335	135
712	335	135
713	335	134
714	336	134
715	336	133
716	337	133
717	337	132
718	338	132
719	338	131
720	339	131
721	339	130
722	339	130
723	340	129
724	340	129
725	341	128
726	341	128
727	342	127
728	342	127
729	343	126
730	343	126
731	344	126
732	344	125
733	345	125
734	345	124
735	346	124
736	346	123
737	347	123
738	347	122
739	348	122
740	348	121
741	348	121
742	349	120
743	349	120
744	350	119
745	350	119
746	350	118
747	351	118
748	351	117
749	352	117
750	352	116
751	353	116
752	353	116
753	354	115
754	354	115
755	354	114
756	355	114
757	355	113
758	356	113
759	356	112
760	357	112
761	357	111
762	358	111
763	358	110
764	359	110
765	359	109
766	359	109
767	360	108
768	361	108
769	361	107
770	361	107
771	362	107
772	362	106
773	363	106
774	363	105
775	364	105
776	364	104
777	365	104
778	365	103
779	365	103
780	366	102
781	366	102
782	367	101
783	367	101
784	368	100
785	368	100
786	368	99
787	369	99
788	369	98
789	370	98
790	370	97
791	371	97
792	371	96
793	371	96
794	372	96
795	372	95
796	373	95
797	373	94
798	374	94
799	374	93
800	375	93
801	375	92
802	376	92
803	376	91
804	377	91
805	377	90
806	378	90
807	378	89
808	379	89
809	379	89
810	380	88
811	380	88
812	381	87
813	381	87
814	382	86
815	382	86
816	382	85
817	383	85
818	383	84
819	384	84
820	384	83
821	384	83
822	385	82
823	385	82
824	386	81
825	386	81
826	387	80
827	387	80
828	388	80
829	388	79
830	389	79
831	389	78
832	389	78
833	390	77
834	390	77
835	391	76
836	391	76
837	392	75
838	393	75
839	393	74
840	393	74
841	394	74
842	394	73
843	395	73
844	395	72
845	396	72
846	396	71
847	396	71
848	397	70
849	397	70
850	398	69
851	398	69
852	398	68
853	399	68
854	400	67
855	400	67
856	400	66
857	401	66
858	401	65
859	402	65
860	402	64
861	402	64
862	403	64
863	403	63
864	404	63
865	404	62
866	405	62
867	405	61
868	405	61
869	406	60
870	406	60
871	407	59
872	407	59
873	408	58
874	408	58
875	409	57
876	409	57
877	410	56
878	410	56
879	410	56
880	411	55
881	411	55
882	412	54
883	412	54
884	412	53
885	413	53
886	413	52
887	414	52
888	414	51
889	415	51
890	415	50
891	416	50
892	416	49
893	417	49
894	417	48
895	417	48
896	418	48
897	418	47
898	419	47
899	419	46
900	420	46
901	420	45
902	420	45
903	421	44
904	421	44
905	422	43
906	422	43
907	423	42
908	423	42
909	424	41
910	424	41
911	424	41
912	425	40
913	425	40
914	426	39
915	426	39
916	427	38
917	427	38
918	428	37
919	428	37
920	429	36
921	429	36
922	430	35
923	430	35
924	430	34
925	431	34
926	431	33
927	432	33
928	432	33
929	432	32
930	433	32
931	433	31
932	434	31
933	434	30
934	435	30
935	435	29
936	436	29
937	436	28
938	437	28
939	437	27
940	437	27
941	438	26
942	438	26
943	439	26
944	439	25
945	440	25
946	440	24
947	441	24
948	441	23
949	441	23
950	442	22
951	442	22
952	443	21
953	443	21
954	444	20
955	444	20
956	445	20
957	445	19
958	446	19
959	446	18
960	447	18
961	447	17
962	447	17
963	448	16
964	448	16
965	449	15
966	449	15
967	450	14
968	450	14
969	450	13
970	451	13
971	451	13
972	452	12
973	452	12
974	453	11
975	453	11
976	453	10
977	454	10
978	454	9
979	455	9
980	455	8
981	456	8
982	456	7
983	457	7
984	457	6
985	458	6
986	458	6
987	458	5
988	459	5
989	459	4
990	460	4
991	460	3
992	461	3
993	461	2
994	462	2
995	462	1
996	462	1
997	463	0
998	463	0
999	464	0
